Lab. Time (s)	Magn. Field (mT)	Outp. Curr. (A)	Outp. Volt. (V)	Channel A	Channel B	(A-B)/(A+B)
0.000000	-27.900000	-0.400000	-0.130000	692291.000000	696917.000000	-0.003330
2.000000	-27.600000	-0.396000	-0.130000	695143.000000	700080.000000	-0.003539
6.000000	-27.300000	-0.392000	-0.130000	696837.000000	701562.000000	-0.003379
9.000000	-27.100000	-0.388000	-0.130000	700116.000000	704995.000000	-0.003472
12.000000	-26.800000	-0.384000	-0.130000	695832.000000	703043.000000	-0.005155
16.000000	-26.500000	-0.380000	-0.120000	695287.000000	698849.000000	-0.002555
19.000000	-26.200000	-0.376000	-0.130000	692340.000000	695656.000000	-0.002389
22.000000	-26.000000	-0.372000	-0.130000	691231.000000	696433.000000	-0.003749
25.000000	-25.700000	-0.368000	-0.130000	694076.000000	698056.000000	-0.002859
29.000000	-25.400000	-0.364000	-0.130000	695081.000000	698995.000000	-0.002808
32.000000	-25.100000	-0.360000	-0.130000	696620.000000	700429.000000	-0.002726
35.000000	-24.800000	-0.356000	-0.120000	696337.000000	701479.000000	-0.003679
38.000000	-24.600000	-0.352000	-0.130000	697300.000000	701335.000000	-0.002885
42.000000	-24.300000	-0.348000	-0.120000	694911.000000	699699.000000	-0.003433
45.000000	-24.000000	-0.344000	-0.130000	694394.000000	698860.000000	-0.003205
48.000000	-23.700000	-0.340000	-0.120000	700568.000000	703294.000000	-0.001942
51.000000	-23.400000	-0.336000	-0.130000	698061.000000	702246.000000	-0.002989
55.000000	-23.200000	-0.332000	-0.130000	696664.000000	699474.000000	-0.002013
58.000000	-22.900000	-0.328000	-0.130000	697618.000000	702213.000000	-0.003283
61.000000	-22.600000	-0.324000	-0.120000	695469.000000	699838.000000	-0.003131
65.000000	-22.300000	-0.320000	-0.120000	698012.000000	703112.000000	-0.003640
68.000000	-22.000000	-0.316000	-0.120000	698076.000000	701845.000000	-0.002692
71.000000	-21.800000	-0.312000	-0.120000	694834.000000	698664.000000	-0.002748
74.000000	-21.500000	-0.308000	-0.120000	697966.000000	702302.000000	-0.003097
78.000000	-21.200000	-0.304000	-0.120000	700978.000000	704782.000000	-0.002706
81.000000	-20.900000	-0.300000	-0.120000	696876.000000	700926.000000	-0.002897
84.000000	-20.700000	-0.296000	-0.120000	697380.000000	700571.000000	-0.002283
87.000000	-20.400000	-0.292000	-0.120000	699586.000000	702667.000000	-0.002197
91.000000	-20.100000	-0.288000	-0.120000	699194.000000	701886.000000	-0.001921
94.000000	-19.800000	-0.284000	-0.120000	696406.000000	697284.000000	-0.000630
97.000000	-19.500000	-0.280000	-0.120000	695592.000000	697214.000000	-0.001165
100.000000	-19.300000	-0.276000	-0.120000	698291.000000	700287.000000	-0.001427
103.000000	-19.000000	-0.272000	-0.120000	696129.000000	698838.000000	-0.001942
107.000000	-18.700000	-0.268000	-0.120000	693207.000000	695172.000000	-0.001415
110.000000	-18.400000	-0.264000	-0.120000	695916.000000	699395.000000	-0.002493
113.000000	-18.100000	-0.260000	-0.120000	699150.000000	702815.000000	-0.002614
117.000000	-17.900000	-0.256000	-0.120000	698259.000000	699049.000000	-0.000565
120.000000	-17.600000	-0.252000	-0.120000	702715.000000	703552.000000	-0.000595
123.000000	-17.300000	-0.248000	-0.120000	695351.000000	696716.000000	-0.000981
126.000000	-17.000000	-0.244000	-0.120000	698677.000000	699708.000000	-0.000737
130.000000	-16.700000	-0.240000	-0.120000	694810.000000	694923.000000	-0.000081
133.000000	-16.500000	-0.236000	-0.120000	698350.000000	698638.000000	-0.000206
136.000000	-16.200000	-0.232000	-0.120000	698788.000000	699977.000000	-0.000850
139.000000	-15.900000	-0.228000	-0.120000	695284.000000	695522.000000	-0.000171
143.000000	-15.600000	-0.224000	-0.120000	695485.000000	695439.000000	0.000033
146.000000	-15.300000	-0.220000	-0.120000	702218.000000	701154.000000	0.000758
149.000000	-15.100000	-0.216000	-0.120000	699669.000000	696686.000000	0.002136
152.000000	-14.800000	-0.212000	-0.120000	692634.000000	692277.000000	0.000258
156.000000	-14.500000	-0.208000	-0.120000	701492.000000	700606.000000	0.000632
159.000000	-14.200000	-0.204000	-0.120000	699399.000000	698564.000000	0.000597
162.000000	-14.000000	-0.200000	-0.120000	707013.000000	704645.000000	0.001677
165.000000	-13.700000	-0.196000	-0.120000	701560.000000	699731.000000	0.001305
168.000000	-13.400000	-0.192000	-0.120000	696231.000000	692743.000000	0.002511
172.000000	-13.100000	-0.188000	-0.120000	705041.000000	700648.000000	0.003125
175.000000	-12.800000	-0.184000	-0.120000	703498.000000	698853.000000	0.003312
178.000000	-12.600000	-0.180000	-0.120000	696866.000000	691372.000000	0.003958
181.000000	-12.300000	-0.176000	-0.120000	704993.000000	698705.000000	0.004480
185.000000	-12.000000	-0.172000	-0.120000	696997.000000	691911.000000	0.003662
188.000000	-11.700000	-0.168000	-0.120000	704434.000000	697779.000000	0.004746
191.000000	-11.400000	-0.164000	-0.120000	704639.000000	696828.000000	0.005573
195.000000	-11.200000	-0.160000	-0.120000	699944.000000	691750.000000	0.005888
198.000000	-10.900000	-0.156000	-0.120000	699129.000000	689267.000000	0.007103
201.000000	-10.600000	-0.152000	-0.120000	695234.000000	684467.000000	0.007804
204.000000	-10.300000	-0.148000	-0.120000	704246.000000	692788.000000	0.008202
207.000000	-10.000000	-0.144000	-0.120000	701219.000000	686516.000000	0.010595
211.000000	-9.800000	-0.140000	-0.120000	711019.000000	695741.000000	0.010860
214.000000	-9.500000	-0.136000	-0.120000	700138.000000	685023.000000	0.010912
217.000000	-9.200000	-0.132000	-0.120000	704054.000000	687050.000000	0.012223
221.000000	-8.900000	-0.128000	-0.120000	700400.000000	684772.000000	0.011282
224.000000	-8.700000	-0.124000	-0.120000	707608.000000	687384.000000	0.014498
227.000000	-8.400000	-0.120000	-0.120000	701232.000000	683367.000000	0.012903
230.000000	-8.100000	-0.116000	-0.120000	711616.000000	688405.000000	0.016579
234.000000	-7.800000	-0.112000	-0.120000	714262.000000	690866.000000	0.016650
237.000000	-7.500000	-0.108000	-0.120000	711706.000000	688069.000000	0.016886
240.000000	-7.300000	-0.104000	-0.120000	712876.000000	688344.000000	0.017508
243.000000	-7.000000	-0.100000	-0.120000	706316.000000	683011.000000	0.016774
247.000000	-6.700000	-0.096000	-0.120000	702002.000000	676293.000000	0.018653
250.000000	-6.400000	-0.092000	-0.120000	708704.000000	683503.000000	0.018101
253.000000	-6.100000	-0.088000	-0.120000	709446.000000	684256.000000	0.018074
256.000000	-5.900000	-0.084000	-0.120000	712122.000000	685344.000000	0.019162
259.000000	-5.600000	-0.080000	-0.120000	707613.000000	681894.000000	0.018509
263.000000	-5.300000	-0.076000	-0.120000	714969.000000	688514.000000	0.018850
266.000000	-5.000000	-0.072000	-0.120000	708833.000000	683586.000000	0.018132
269.000000	-4.700000	-0.068000	-0.120000	709140.000000	684507.000000	0.017675
