Lab. Time (s)	Magn. Field (mT)	Outp. Curr. (A)	Outp. Volt. (V)	Channel A	Channel B	(A-B)/(A+B)
0.000000	-27.900000	-0.400000	-0.140000	757954.000000	761035.000000	-0.002028
9.000000	-27.600000	-0.396000	-0.130000	758715.000000	765210.000000	-0.004262
12.000000	-27.300000	-0.392000	-0.130000	761781.000000	767690.000000	-0.003863
15.000000	-27.100000	-0.388000	-0.130000	761795.000000	767094.000000	-0.003466
18.000000	-26.800000	-0.384000	-0.130000	759220.000000	763310.000000	-0.002686
22.000000	-26.500000	-0.380000	-0.130000	757270.000000	762984.000000	-0.003759
25.000000	-26.200000	-0.376000	-0.120000	751363.000000	756224.000000	-0.003224
28.000000	-26.000000	-0.372000	-0.130000	754301.000000	759718.000000	-0.003578
31.000000	-25.700000	-0.368000	-0.130000	753576.000000	759007.000000	-0.003591
34.000000	-25.400000	-0.364000	-0.130000	749625.000000	754632.000000	-0.003329
38.000000	-25.100000	-0.360000	-0.120000	751822.000000	756042.000000	-0.002799
41.000000	-24.800000	-0.356000	-0.130000	761323.000000	764304.000000	-0.001954
44.000000	-24.600000	-0.352000	-0.130000	756779.000000	760976.000000	-0.002765
48.000000	-24.300000	-0.348000	-0.120000	755572.000000	760561.000000	-0.003291
51.000000	-24.000000	-0.344000	-0.130000	751925.000000	755067.000000	-0.002085
54.000000	-23.700000	-0.340000	-0.120000	758260.000000	761965.000000	-0.002437
57.000000	-23.400000	-0.336000	-0.130000	752648.000000	755391.000000	-0.001819
60.000000	-23.200000	-0.332000	-0.130000	760224.000000	763628.000000	-0.002234
64.000000	-22.900000	-0.328000	-0.120000	760592.000000	763146.000000	-0.001676
67.000000	-22.600000	-0.324000	-0.130000	756262.000000	758554.000000	-0.001513
70.000000	-22.300000	-0.320000	-0.130000	756636.000000	761155.000000	-0.002977
73.000000	-22.000000	-0.316000	-0.120000	760170.000000	763424.000000	-0.002136
77.000000	-21.800000	-0.312000	-0.130000	762725.000000	765353.000000	-0.001720
80.000000	-21.500000	-0.308000	-0.120000	758015.000000	761434.000000	-0.002250
83.000000	-21.200000	-0.304000	-0.120000	762307.000000	765561.000000	-0.002130
86.000000	-20.900000	-0.300000	-0.120000	763817.000000	767762.000000	-0.002576
90.000000	-20.700000	-0.296000	-0.120000	763108.000000	767168.000000	-0.002653
93.000000	-20.400000	-0.292000	-0.120000	756227.000000	760337.000000	-0.002710
96.000000	-20.100000	-0.288000	-0.120000	761670.000000	765302.000000	-0.002379
99.000000	-19.800000	-0.284000	-0.120000	763081.000000	764648.000000	-0.001026
103.000000	-19.500000	-0.280000	-0.120000	761159.000000	761621.000000	-0.000303
106.000000	-19.300000	-0.276000	-0.120000	755236.000000	757553.000000	-0.001532
109.000000	-19.000000	-0.272000	-0.120000	766634.000000	768378.000000	-0.001136
112.000000	-18.700000	-0.268000	-0.120000	761822.000000	762955.000000	-0.000743
115.000000	-18.400000	-0.264000	-0.120000	765389.000000	766798.000000	-0.000920
119.000000	-18.100000	-0.260000	-0.120000	755035.000000	754469.000000	0.000375
122.000000	-17.900000	-0.256000	-0.120000	753764.000000	754521.000000	-0.000502
125.000000	-17.600000	-0.252000	-0.120000	767205.000000	768912.000000	-0.001111
128.000000	-17.300000	-0.248000	-0.120000	761734.000000	762207.000000	-0.000310
132.000000	-17.000000	-0.244000	-0.120000	758373.000000	760878.000000	-0.001649
135.000000	-16.700000	-0.240000	-0.120000	756447.000000	756074.000000	0.000247
138.000000	-16.500000	-0.236000	-0.120000	757817.000000	758276.000000	-0.000303
142.000000	-16.200000	-0.232000	-0.120000	751622.000000	752694.000000	-0.000713
145.000000	-15.900000	-0.228000	-0.120000	754672.000000	754530.000000	0.000094
148.000000	-15.600000	-0.224000	-0.120000	767100.000000	766596.000000	0.000329
151.000000	-15.300000	-0.220000	-0.120000	766712.000000	764702.000000	0.001313
154.000000	-15.100000	-0.216000	-0.120000	755707.000000	754466.000000	0.000822
158.000000	-14.800000	-0.212000	-0.120000	755631.000000	753835.000000	0.001190
161.000000	-14.500000	-0.208000	-0.120000	761472.000000	759025.000000	0.001609
164.000000	-14.200000	-0.204000	-0.120000	762369.000000	760538.000000	0.001202
167.000000	-14.000000	-0.200000	-0.120000	764139.000000	760290.000000	0.002525
171.000000	-13.700000	-0.196000	-0.120000	765128.000000	761353.000000	0.002473
174.000000	-13.400000	-0.192000	-0.120000	757944.000000	752790.000000	0.003412
177.000000	-13.100000	-0.188000	-0.120000	761061.000000	755686.000000	0.003544
180.000000	-12.800000	-0.184000	-0.120000	762081.000000	755188.000000	0.004543
184.000000	-12.600000	-0.180000	-0.120000	762957.000000	753418.000000	0.006291
187.000000	-12.300000	-0.176000	-0.120000	763471.000000	754855.000000	0.005675
190.000000	-12.000000	-0.172000	-0.120000	770370.000000	760082.000000	0.006722
193.000000	-11.700000	-0.168000	-0.120000	767808.000000	756884.000000	0.007165
197.000000	-11.400000	-0.164000	-0.120000	767607.000000	757126.000000	0.006874
200.000000	-11.200000	-0.160000	-0.120000	768904.000000	754454.000000	0.009486
203.000000	-10.900000	-0.156000	-0.120000	767575.000000	752617.000000	0.009840
206.000000	-10.600000	-0.152000	-0.120000	762586.000000	747898.000000	0.009724
209.000000	-10.300000	-0.148000	-0.120000	770131.000000	753851.000000	0.010683
213.000000	-10.000000	-0.144000	-0.120000	777129.000000	756769.000000	0.013273
216.000000	-9.800000	-0.140000	-0.120000	771761.000000	751971.000000	0.012988
219.000000	-9.500000	-0.136000	-0.120000	769878.000000	751536.000000	0.012056
222.000000	-9.200000	-0.132000	-0.120000	771676.000000	750691.000000	0.013784
226.000000	-8.900000	-0.128000	-0.120000	768078.000000	746169.000000	0.014469
229.000000	-8.700000	-0.124000	-0.120000	764474.000000	741048.000000	0.015560
232.000000	-8.400000	-0.120000	-0.120000	769673.000000	745881.000000	0.015699
235.000000	-8.100000	-0.116000	-0.120000	766775.000000	744676.000000	0.014621
239.000000	-7.800000	-0.112000	-0.120000	769065.000000	744744.000000	0.016066
242.000000	-7.500000	-0.108000	-0.120000	772872.000000	750570.000000	0.014639
245.000000	-7.300000	-0.104000	-0.120000	771730.000000	748130.000000	0.015528
248.000000	-7.000000	-0.100000	-0.120000	764239.000000	740043.000000	0.016085
252.000000	-6.700000	-0.096000	-0.120000	773157.000000	748163.000000	0.016429
255.000000	-6.400000	-0.092000	-0.120000	768992.000000	744840.000000	0.015954
258.000000	-6.100000	-0.088000	-0.120000	768255.000000	743722.000000	0.016226
261.000000	-5.900000	-0.084000	-0.120000	773384.000000	749901.000000	0.015416
265.000000	-5.600000	-0.080000	-0.120000	770269.000000	746751.000000	0.015503
268.000000	-5.300000	-0.076000	-0.120000	768859.000000	744621.000000	0.016015
271.000000	-5.000000	-0.072000	-0.120000	776004.000000	752180.000000	0.015590
274.000000	-4.700000	-0.068000	-0.120000	764291.000000	741054.000000	0.015436
278.000000	-4.500000	-0.064000	-0.120000	770294.000000	746902.000000	0.015418
281.000000	-4.200000	-0.060000	-0.120000	774100.000000	752779.000000	0.013964
284.000000	-3.900000	-0.056000	-0.120000	775076.000000	751432.000000	0.015489
287.000000	-3.600000	-0.052000	-0.120000	769481.000000	747946.000000	0.014192
291.000000	-3.300000	-0.048000	-0.120000	777244.000000	757238.000000	0.013038
294.000000	-3.100000	-0.044000	-0.120000	775934.000000	753412.000000	0.014727
297.000000	-2.800000	-0.040000	-0.120000	770180.000000	752143.000000	0.011848
300.000000	-2.500000	-0.036000	-0.120000	769145.000000	748458.000000	0.013631
304.000000	-2.200000	-0.032000	-0.120000	771913.000000	748482.000000	0.015411
307.000000	-2.000000	-0.028000	-0.120000	772743.000000	751748.000000	0.013772
310.000000	-1.700000	-0.024000	-0.120000	765416.000000	744519.000000	0.013840
313.000000	-1.400000	-0.020000	-0.120000	768527.000000	745423.000000	0.015261
316.000000	-1.100000	-0.016000	-0.120000	771014.000000	747527.000000	0.015467
320.000000	-0.800000	-0.012000	-0.120000	771839.000000	746647.000000	0.016590
323.000000	-0.600000	-0.008000	-0.120000	768481.000000	740257.000000	0.018707
326.000000	-0.300000	-0.004000	-0.120000	770873.000000	742351.000000	0.018848
329.000000	0.000000	0.000000	-0.120000	772388.000000	741668.000000	0.020290
333.000000	0.300000	0.004000	-0.120000	768830.000000	734537.000000	0.022811
336.000000	0.600000	0.008000	-0.120000	776676.000000	741743.000000	0.023006
339.000000	0.800000	0.012000	-0.120000	768291.000000	729458.000000	0.025928
342.000000	1.100000	0.016000	-0.120000	772700.000000	733427.000000	0.026075
346.000000	1.400000	0.020000	-0.120000	775761.000000	735932.000000	0.026347
349.000000	1.700000	0.024000	-0.120000	770423.000000	731398.000000	0.025985
352.000000	2.000000	0.028000	-0.120000	777137.000000	737926.000000	0.025881
355.000000	2.200000	0.032000	-0.120000	773166.000000	738827.000000	0.022711
359.000000	2.500000	0.036000	-0.120000	770362.000000	738950.000000	0.020812
362.000000	2.800000	0.040000	-0.120000	768610.000000	737488.000000	0.020664
365.000000	3.100000	0.044000	-0.120000	774993.000000	744502.000000	0.020067
368.000000	3.300000	0.048000	-0.120000	772823.000000	745714.000000	0.017852
372.000000	3.600000	0.052000	-0.120000	775599.000000	749322.000000	0.017232
375.000000	3.900000	0.056000	-0.120000	771045.000000	748198.000000	0.015038
378.000000	4.200000	0.060000	-0.120000	773365.000000	750461.000000	0.015031
381.000000	4.500000	0.064000	-0.120000	772419.000000	749352.000000	0.015158
385.000000	4.700000	0.068000	-0.120000	771313.000000	747193.000000	0.015884
388.000000	5.000000	0.072000	-0.120000	771198.000000	749323.000000	0.014387
391.000000	5.300000	0.076000	-0.120000	761030.000000	739781.000000	0.014158
394.000000	5.600000	0.080000	-0.120000	761539.000000	742329.000000	0.012774
398.000000	5.900000	0.084000	-0.120000	763775.000000	744225.000000	0.012964
401.000000	6.100000	0.088000	-0.120000	767577.000000	745691.000000	0.014463
404.000000	6.400000	0.092000	-0.120000	768097.000000	744767.000000	0.015421
407.000000	6.700000	0.096000	-0.120000	766557.000000	743802.000000	0.015066
410.000000	7.000000	0.100000	-0.120000	767823.000000	744694.000000	0.015292
414.000000	7.300000	0.104000	-0.120000	772335.000000	748853.000000	0.015437
417.000000	7.500000	0.108000	-0.120000	766630.000000	745173.000000	0.014193
420.000000	7.800000	0.112000	-0.110000	767328.000000	743903.000000	0.015501
423.000000	8.100000	0.116000	-0.120000	766173.000000	742494.000000	0.015695
427.000000	8.400000	0.120000	-0.120000	767725.000000	746022.000000	0.014337
430.000000	8.700000	0.124000	-0.120000	764543.000000	742800.000000	0.014425
433.000000	8.900000	0.128000	-0.120000	763056.000000	742163.000000	0.013880
436.000000	9.200000	0.132000	-0.120000	758968.000000	737155.000000	0.014580
440.000000	9.500000	0.136000	-0.120000	766991.000000	744122.000000	0.015134
443.000000	9.800000	0.140000	-0.110000	770524.000000	746755.000000	0.015666
446.000000	10.000000	0.144000	-0.120000	766935.000000	742049.000000	0.016492
449.000000	10.300000	0.148000	-0.110000	765241.000000	744352.000000	0.013838
453.000000	10.600000	0.152000	-0.110000	764317.000000	742269.000000	0.014634
456.000000	10.900000	0.156000	-0.110000	767472.000000	746701.000000	0.013718
459.000000	11.200000	0.160000	-0.110000	769009.000000	747446.000000	0.014219
462.000000	11.400000	0.164000	-0.110000	764249.000000	745561.000000	0.012378
466.000000	11.700000	0.168000	-0.110000	762962.000000	745871.000000	0.011327
469.000000	12.000000	0.172000	-0.110000	765225.000000	748511.000000	0.011042
