Lab. Time (s)	Magn. Field (mT)	Outp. Curr. (A)	Outp. Volt. (V)	Channel A	Channel B	(A-B)/(A+B)
0.000000	-27.900000	-0.400000	-0.140000	697450.000000	702229.000000	-0.003414
15.000000	-27.600000	-0.396000	-0.130000	702707.000000	709483.000000	-0.004798
18.000000	-27.300000	-0.392000	-0.130000	700039.000000	706162.000000	-0.004354
22.000000	-27.100000	-0.388000	-0.130000	698800.000000	704736.000000	-0.004229
25.000000	-26.800000	-0.384000	-0.130000	692248.000000	699634.000000	-0.005306
28.000000	-26.500000	-0.380000	-0.130000	699436.000000	704777.000000	-0.003804
31.000000	-26.200000	-0.376000	-0.130000	697683.000000	704084.000000	-0.004566
35.000000	-26.000000	-0.372000	-0.130000	698977.000000	704231.000000	-0.003744
38.000000	-25.700000	-0.368000	-0.130000	699997.000000	706626.000000	-0.004713
41.000000	-25.400000	-0.364000	-0.130000	699175.000000	704678.000000	-0.003920
44.000000	-25.100000	-0.360000	-0.130000	698346.000000	705458.000000	-0.005066
48.000000	-24.800000	-0.356000	-0.120000	696828.000000	704393.000000	-0.005399
51.000000	-24.600000	-0.352000	-0.130000	698162.000000	704866.000000	-0.004778
54.000000	-24.300000	-0.348000	-0.120000	696388.000000	701834.000000	-0.003895
57.000000	-24.000000	-0.344000	-0.130000	699606.000000	706643.000000	-0.005004
61.000000	-23.700000	-0.340000	-0.130000	704785.000000	710475.000000	-0.004020
64.000000	-23.400000	-0.336000	-0.130000	704653.000000	709867.000000	-0.003686
67.000000	-23.200000	-0.332000	-0.120000	699196.000000	705215.000000	-0.004286
70.000000	-22.900000	-0.328000	-0.120000	706559.000000	710831.000000	-0.003014
74.000000	-22.600000	-0.324000	-0.120000	701757.000000	708708.000000	-0.004928
77.000000	-22.300000	-0.320000	-0.120000	700620.000000	705480.000000	-0.003456
80.000000	-22.000000	-0.316000	-0.130000	699139.000000	705056.000000	-0.004214
83.000000	-21.800000	-0.312000	-0.130000	696183.000000	699157.000000	-0.002131
87.000000	-21.500000	-0.308000	-0.120000	700877.000000	706738.000000	-0.004164
90.000000	-21.200000	-0.304000	-0.120000	700300.000000	703987.000000	-0.002626
93.000000	-20.900000	-0.300000	-0.120000	697751.000000	702398.000000	-0.003319
96.000000	-20.700000	-0.296000	-0.120000	695956.000000	700174.000000	-0.003021
100.000000	-20.400000	-0.292000	-0.130000	702177.000000	706715.000000	-0.003221
103.000000	-20.100000	-0.288000	-0.120000	701160.000000	706052.000000	-0.003476
106.000000	-19.800000	-0.284000	-0.120000	698889.000000	703969.000000	-0.003621
109.000000	-19.500000	-0.280000	-0.120000	700357.000000	705022.000000	-0.003319
113.000000	-19.300000	-0.276000	-0.120000	700973.000000	706029.000000	-0.003593
116.000000	-19.000000	-0.272000	-0.120000	694122.000000	700167.000000	-0.004336
119.000000	-18.700000	-0.268000	-0.120000	695791.000000	699487.000000	-0.002649
122.000000	-18.400000	-0.264000	-0.120000	694124.000000	697323.000000	-0.002299
126.000000	-18.100000	-0.260000	-0.120000	701257.000000	704105.000000	-0.002027
129.000000	-17.900000	-0.256000	-0.120000	699742.000000	702287.000000	-0.001815
132.000000	-17.600000	-0.252000	-0.120000	701354.000000	704799.000000	-0.002450
135.000000	-17.300000	-0.248000	-0.120000	697175.000000	701485.000000	-0.003082
139.000000	-17.000000	-0.244000	-0.120000	698366.000000	700668.000000	-0.001645
142.000000	-16.700000	-0.240000	-0.120000	698266.000000	699739.000000	-0.001054
145.000000	-16.500000	-0.236000	-0.120000	696257.000000	700480.000000	-0.003023
148.000000	-16.200000	-0.232000	-0.120000	698689.000000	700321.000000	-0.001167
152.000000	-15.900000	-0.228000	-0.120000	697674.000000	701717.000000	-0.002889
155.000000	-15.600000	-0.224000	-0.120000	699381.000000	701941.000000	-0.001827
158.000000	-15.300000	-0.220000	-0.120000	697510.000000	699987.000000	-0.001772
161.000000	-15.100000	-0.216000	-0.120000	700059.000000	703769.000000	-0.002643
165.000000	-14.800000	-0.212000	-0.120000	694989.000000	696701.000000	-0.001230
168.000000	-14.500000	-0.208000	-0.120000	702877.000000	704294.000000	-0.001007
