Lab. Time (s)	Magn. Field (mT)	Outp. Curr. (A)	Outp. Volt. (V)	Channel A	Channel B	(A-B)/(A+B)
0.000000	-27.900000	-0.400000	-0.140000	764825.000000	772097.000000	-0.004732
15.000000	-27.600000	-0.396000	-0.130000	762219.000000	769221.000000	-0.004572
19.000000	-27.300000	-0.392000	-0.130000	761297.000000	767363.000000	-0.003968
22.000000	-27.100000	-0.388000	-0.130000	759423.000000	763986.000000	-0.002995
25.000000	-26.800000	-0.384000	-0.130000	759737.000000	765784.000000	-0.003964
29.000000	-26.500000	-0.380000	-0.130000	755435.000000	759117.000000	-0.002431
32.000000	-26.200000	-0.376000	-0.130000	756985.000000	762579.000000	-0.003681
35.000000	-26.000000	-0.372000	-0.130000	758347.000000	765947.000000	-0.004986
39.000000	-25.700000	-0.368000	-0.130000	761275.000000	765575.000000	-0.002816
42.000000	-25.400000	-0.364000	-0.130000	760603.000000	766010.000000	-0.003542
45.000000	-25.100000	-0.360000	-0.120000	760797.000000	765224.000000	-0.002901
49.000000	-24.800000	-0.356000	-0.130000	764040.000000	769688.000000	-0.003683
52.000000	-24.600000	-0.352000	-0.130000	759997.000000	764531.000000	-0.002974
55.000000	-24.300000	-0.348000	-0.120000	752845.000000	757519.000000	-0.003095
59.000000	-24.000000	-0.344000	-0.130000	759314.000000	765019.000000	-0.003743
62.000000	-23.700000	-0.340000	-0.120000	764680.000000	770333.000000	-0.003683
65.000000	-23.400000	-0.336000	-0.120000	759013.000000	763187.000000	-0.002742
69.000000	-23.200000	-0.332000	-0.130000	762452.000000	769127.000000	-0.004358
72.000000	-22.900000	-0.328000	-0.120000	761994.000000	768172.000000	-0.004037
75.000000	-22.600000	-0.324000	-0.120000	758961.000000	763904.000000	-0.003246
79.000000	-22.300000	-0.320000	-0.120000	761155.000000	764654.000000	-0.002293
82.000000	-22.000000	-0.316000	-0.120000	761496.000000	767177.000000	-0.003716
85.000000	-21.800000	-0.312000	-0.120000	757895.000000	762814.000000	-0.003235
89.000000	-21.500000	-0.308000	-0.120000	756178.000000	761277.000000	-0.003360
92.000000	-21.200000	-0.304000	-0.120000	764631.000000	768491.000000	-0.002518
95.000000	-20.900000	-0.300000	-0.120000	762078.000000	765126.000000	-0.001996
99.000000	-20.700000	-0.296000	-0.120000	764687.000000	768130.000000	-0.002246
102.000000	-20.400000	-0.292000	-0.120000	752758.000000	755892.000000	-0.002077
105.000000	-20.100000	-0.288000	-0.120000	757542.000000	760906.000000	-0.002215
109.000000	-19.800000	-0.284000	-0.120000	751568.000000	754201.000000	-0.001749
112.000000	-19.500000	-0.280000	-0.120000	753458.000000	757768.000000	-0.002852
115.000000	-19.300000	-0.276000	-0.120000	759703.000000	762620.000000	-0.001916
119.000000	-19.000000	-0.272000	-0.120000	764312.000000	765399.000000	-0.000711
122.000000	-18.700000	-0.268000	-0.120000	761581.000000	763773.000000	-0.001437
125.000000	-18.400000	-0.264000	-0.120000	760340.000000	762974.000000	-0.001729
129.000000	-18.100000	-0.260000	-0.120000	764290.000000	767766.000000	-0.002269
132.000000	-17.900000	-0.256000	-0.120000	757204.000000	761073.000000	-0.002548
135.000000	-17.600000	-0.252000	-0.120000	768103.000000	770742.000000	-0.001715
139.000000	-17.300000	-0.248000	-0.120000	761204.000000	764434.000000	-0.002117
142.000000	-17.000000	-0.244000	-0.120000	763601.000000	765344.000000	-0.001140
145.000000	-16.700000	-0.240000	-0.120000	762777.000000	763125.000000	-0.000228
149.000000	-16.500000	-0.236000	-0.120000	760832.000000	762189.000000	-0.000891
152.000000	-16.200000	-0.232000	-0.120000	766909.000000	766565.000000	0.000224
155.000000	-15.900000	-0.228000	-0.120000	759745.000000	762362.000000	-0.001719
159.000000	-15.600000	-0.224000	-0.120000	763436.000000	762892.000000	0.000356
162.000000	-15.300000	-0.220000	-0.120000	763646.000000	764155.000000	-0.000333
165.000000	-15.100000	-0.216000	-0.120000	764019.000000	763819.000000	0.000131
169.000000	-14.800000	-0.212000	-0.120000	763268.000000	764019.000000	-0.000492
172.000000	-14.500000	-0.208000	-0.120000	758666.000000	759119.000000	-0.000298
175.000000	-14.200000	-0.204000	-0.120000	762557.000000	760146.000000	0.001583
179.000000	-14.000000	-0.200000	-0.120000	759972.000000	757281.000000	0.001774
182.000000	-13.700000	-0.196000	-0.120000	755554.000000	754648.000000	0.000600
185.000000	-13.400000	-0.192000	-0.120000	768830.000000	766630.000000	0.001433
189.000000	-13.100000	-0.188000	-0.120000	765871.000000	760993.000000	0.003195
192.000000	-12.800000	-0.184000	-0.120000	764324.000000	761336.000000	0.001958
195.000000	-12.600000	-0.180000	-0.120000	768324.000000	761912.000000	0.004190
199.000000	-12.300000	-0.176000	-0.120000	755247.000000	748948.000000	0.004188
202.000000	-12.000000	-0.172000	-0.120000	760941.000000	756342.000000	0.003031
205.000000	-11.700000	-0.168000	-0.120000	767765.000000	758174.000000	0.006285
209.000000	-11.400000	-0.164000	-0.120000	769399.000000	759081.000000	0.006750
212.000000	-11.200000	-0.160000	-0.120000	770360.000000	758427.000000	0.007806
215.000000	-10.900000	-0.156000	-0.120000	768385.000000	754678.000000	0.009000
219.000000	-10.600000	-0.152000	-0.120000	768010.000000	756560.000000	0.007510
222.000000	-10.300000	-0.148000	-0.120000	770913.000000	758418.000000	0.008170
225.000000	-10.000000	-0.144000	-0.120000	763203.000000	749578.000000	0.009007
229.000000	-9.800000	-0.140000	-0.120000	766257.000000	751122.000000	0.009974
232.000000	-9.500000	-0.136000	-0.120000	774274.000000	757596.000000	0.010887
235.000000	-9.200000	-0.132000	-0.120000	770919.000000	753192.000000	0.011631
239.000000	-8.900000	-0.128000	-0.120000	768797.000000	751829.000000	0.011159
242.000000	-8.700000	-0.124000	-0.120000	770805.000000	753288.000000	0.011493
245.000000	-8.400000	-0.120000	-0.120000	770336.000000	750188.000000	0.013251
249.000000	-8.100000	-0.116000	-0.120000	772263.000000	754012.000000	0.011958
252.000000	-7.800000	-0.112000	-0.120000	772181.000000	753533.000000	0.012222
255.000000	-7.500000	-0.108000	-0.120000	770125.000000	750527.000000	0.012888
259.000000	-7.300000	-0.104000	-0.120000	765624.000000	746954.000000	0.012343
262.000000	-7.000000	-0.100000	-0.120000	761017.000000	740737.000000	0.013504
