Lab. Time (s)	Magn. Field (mT)	Outp. Curr. (A)	Outp. Volt. (V)	Channel A	Channel B	(A-B)/(A+B)
0.000000	-27.900000	-0.400000	-0.140000	694752.000000	701205.000000	-0.004623
15.000000	-27.600000	-0.396000	-0.130000	696828.000000	703157.000000	-0.004521
19.000000	-27.300000	-0.392000	-0.130000	698262.000000	705481.000000	-0.005143
22.000000	-27.100000	-0.388000	-0.130000	692705.000000	699432.000000	-0.004832
25.000000	-26.800000	-0.384000	-0.130000	697908.000000	703353.000000	-0.003886
28.000000	-26.500000	-0.380000	-0.130000	696555.000000	703369.000000	-0.004867
32.000000	-26.200000	-0.376000	-0.130000	696462.000000	700240.000000	-0.002705
35.000000	-26.000000	-0.372000	-0.130000	696037.000000	702016.000000	-0.004277
38.000000	-25.700000	-0.368000	-0.130000	700092.000000	705194.000000	-0.003631
41.000000	-25.400000	-0.364000	-0.120000	694211.000000	699614.000000	-0.003876
45.000000	-25.100000	-0.360000	-0.130000	693713.000000	700840.000000	-0.005111
48.000000	-24.800000	-0.356000	-0.130000	693516.000000	700662.000000	-0.005126
51.000000	-24.600000	-0.352000	-0.130000	690864.000000	698340.000000	-0.005381
54.000000	-24.300000	-0.348000	-0.130000	697540.000000	701647.000000	-0.002935
58.000000	-24.000000	-0.344000	-0.130000	696813.000000	702416.000000	-0.004004
61.000000	-23.700000	-0.340000	-0.130000	697715.000000	703449.000000	-0.004092
64.000000	-23.400000	-0.336000	-0.120000	693920.000000	698732.000000	-0.003455
67.000000	-23.200000	-0.332000	-0.130000	697518.000000	701000.000000	-0.002490
71.000000	-22.900000	-0.328000	-0.120000	699812.000000	705275.000000	-0.003888
74.000000	-22.600000	-0.324000	-0.130000	697390.000000	703521.000000	-0.004376
77.000000	-22.300000	-0.320000	-0.130000	698261.000000	701825.000000	-0.002546
80.000000	-22.000000	-0.316000	-0.120000	695828.000000	701405.000000	-0.003991
84.000000	-21.800000	-0.312000	-0.120000	698187.000000	701351.000000	-0.002261
87.000000	-21.500000	-0.308000	-0.130000	695989.000000	700409.000000	-0.003165
90.000000	-21.200000	-0.304000	-0.120000	693546.000000	699168.000000	-0.004037
93.000000	-20.900000	-0.300000	-0.120000	697878.000000	702101.000000	-0.003016
97.000000	-20.700000	-0.296000	-0.130000	702737.000000	707669.000000	-0.003497
100.000000	-20.400000	-0.292000	-0.120000	697535.000000	703127.000000	-0.003992
103.000000	-20.100000	-0.288000	-0.120000	700774.000000	704022.000000	-0.002312
106.000000	-19.800000	-0.284000	-0.130000	699464.000000	704138.000000	-0.003330
110.000000	-19.500000	-0.280000	-0.120000	697986.000000	701510.000000	-0.002518
