Lab. Time (s)	Magn. Field (mT)	Outp. Curr. (A)	Outp. Volt. (V)	Channel A	Channel B	(A-B)/(A+B)
0.000000	-27.900000	-0.400000	-0.140000	761795.000000	766504.000000	-0.003081
15.000000	-27.600000	-0.396000	-0.130000	755611.000000	761261.000000	-0.003725
18.000000	-27.300000	-0.392000	-0.130000	751653.000000	758922.000000	-0.004812
21.000000	-27.100000	-0.388000	-0.130000	758431.000000	764585.000000	-0.004041
24.000000	-26.800000	-0.384000	-0.130000	757129.000000	763535.000000	-0.004213
27.000000	-26.500000	-0.380000	-0.130000	758905.000000	764336.000000	-0.003565
30.000000	-26.200000	-0.376000	-0.130000	761817.000000	766824.000000	-0.003275
33.000000	-26.000000	-0.372000	-0.130000	757401.000000	762418.000000	-0.003301
36.000000	-25.700000	-0.368000	-0.120000	753809.000000	758266.000000	-0.002948
39.000000	-25.400000	-0.364000	-0.130000	750674.000000	754957.000000	-0.002845
42.000000	-25.100000	-0.360000	-0.130000	758703.000000	764611.000000	-0.003878
45.000000	-24.800000	-0.356000	-0.120000	760109.000000	763307.000000	-0.002099
48.000000	-24.600000	-0.352000	-0.130000	757348.000000	763696.000000	-0.004173
51.000000	-24.300000	-0.348000	-0.120000	758314.000000	765801.000000	-0.004912
54.000000	-24.000000	-0.344000	-0.130000	749311.000000	754990.000000	-0.003775
57.000000	-23.700000	-0.340000	-0.130000	757041.000000	761683.000000	-0.003057
60.000000	-23.400000	-0.336000	-0.130000	758552.000000	763128.000000	-0.003007
63.000000	-23.200000	-0.332000	-0.120000	763546.000000	768876.000000	-0.003478
66.000000	-22.900000	-0.328000	-0.130000	756311.000000	760559.000000	-0.002801
69.000000	-22.600000	-0.324000	-0.120000	760108.000000	764376.000000	-0.002800
72.000000	-22.300000	-0.320000	-0.120000	761292.000000	764810.000000	-0.002305
75.000000	-22.000000	-0.316000	-0.130000	752496.000000	756479.000000	-0.002640
78.000000	-21.800000	-0.312000	-0.130000	761730.000000	766496.000000	-0.003119
81.000000	-21.500000	-0.308000	-0.130000	755905.000000	760776.000000	-0.003212
84.000000	-21.200000	-0.304000	-0.130000	759329.000000	765440.000000	-0.004008
87.000000	-20.900000	-0.300000	-0.120000	761012.000000	766013.000000	-0.003275
90.000000	-20.700000	-0.296000	-0.130000	761678.000000	767451.000000	-0.003775
93.000000	-20.400000	-0.292000	-0.120000	760748.000000	764346.000000	-0.002359
96.000000	-20.100000	-0.288000	-0.120000	764992.000000	769083.000000	-0.002667
99.000000	-19.800000	-0.284000	-0.120000	760874.000000	765984.000000	-0.003347
102.000000	-19.500000	-0.280000	-0.120000	762317.000000	768259.000000	-0.003882
105.000000	-19.300000	-0.276000	-0.120000	767908.000000	771684.000000	-0.002453
108.000000	-19.000000	-0.272000	-0.120000	749942.000000	755051.000000	-0.003395
111.000000	-18.700000	-0.268000	-0.130000	757095.000000	759564.000000	-0.001628
114.000000	-18.400000	-0.264000	-0.120000	759800.000000	762229.000000	-0.001596
117.000000	-18.100000	-0.260000	-0.120000	768117.000000	770581.000000	-0.001601
120.000000	-17.900000	-0.256000	-0.120000	751636.000000	755588.000000	-0.002622
123.000000	-17.600000	-0.252000	-0.120000	755674.000000	757607.000000	-0.001277
126.000000	-17.300000	-0.248000	-0.120000	760087.000000	763704.000000	-0.002374
129.000000	-17.000000	-0.244000	-0.120000	762949.000000	765866.000000	-0.001908
132.000000	-16.700000	-0.240000	-0.120000	765513.000000	767143.000000	-0.001064
135.000000	-16.500000	-0.236000	-0.120000	763978.000000	764933.000000	-0.000625
138.000000	-16.200000	-0.232000	-0.120000	763687.000000	764607.000000	-0.000602
141.000000	-15.900000	-0.228000	-0.120000	764116.000000	764919.000000	-0.000525
144.000000	-15.600000	-0.224000	-0.120000	761319.000000	760802.000000	0.000340
147.000000	-15.300000	-0.220000	-0.120000	753762.000000	755713.000000	-0.001293
150.000000	-15.100000	-0.216000	-0.120000	759207.000000	759556.000000	-0.000230
153.000000	-14.800000	-0.212000	-0.120000	757198.000000	757523.000000	-0.000215
156.000000	-14.500000	-0.208000	-0.120000	762889.000000	762239.000000	0.000426
159.000000	-14.200000	-0.204000	-0.120000	765727.000000	765719.000000	0.000005
162.000000	-14.000000	-0.200000	-0.120000	763664.000000	761208.000000	0.001611
165.000000	-13.700000	-0.196000	-0.120000	764829.000000	762306.000000	0.001652
168.000000	-13.400000	-0.192000	-0.120000	767247.000000	761553.000000	0.003724
171.000000	-13.100000	-0.188000	-0.120000	768013.000000	763303.000000	0.003076
174.000000	-12.800000	-0.184000	-0.120000	770666.000000	763304.000000	0.004799
177.000000	-12.600000	-0.180000	-0.120000	766063.000000	760000.000000	0.003973
180.000000	-12.300000	-0.176000	-0.120000	764722.000000	754125.000000	0.006977
183.000000	-12.000000	-0.172000	-0.120000	769900.000000	759531.000000	0.006780
186.000000	-11.700000	-0.168000	-0.120000	761607.000000	750033.000000	0.007657
189.000000	-11.400000	-0.164000	-0.120000	764882.000000	754861.000000	0.006594
192.000000	-11.200000	-0.160000	-0.120000	767085.000000	753265.000000	0.009090
195.000000	-10.900000	-0.156000	-0.120000	767856.000000	756039.000000	0.007754
198.000000	-10.600000	-0.152000	-0.120000	768745.000000	754864.000000	0.009111
201.000000	-10.300000	-0.148000	-0.120000	772285.000000	756172.000000	0.010542
204.000000	-10.000000	-0.144000	-0.120000	773936.000000	759446.000000	0.009450
207.000000	-9.800000	-0.140000	-0.120000	774397.000000	757692.000000	0.010903
210.000000	-9.500000	-0.136000	-0.120000	773751.000000	756094.000000	0.011542
213.000000	-9.200000	-0.132000	-0.120000	774134.000000	754497.000000	0.012846
216.000000	-8.900000	-0.128000	-0.120000	776344.000000	759626.000000	0.010884
219.000000	-8.700000	-0.124000	-0.120000	772805.000000	755399.000000	0.011390
222.000000	-8.400000	-0.120000	-0.120000	772973.000000	753491.000000	0.012763
225.000000	-8.100000	-0.116000	-0.120000	779890.000000	759481.000000	0.013258
228.000000	-7.800000	-0.112000	-0.120000	770523.000000	751951.000000	0.012199
231.000000	-7.500000	-0.108000	-0.120000	777887.000000	757544.000000	0.013249
234.000000	-7.300000	-0.104000	-0.120000	776803.000000	755837.000000	0.013680
237.000000	-7.000000	-0.100000	-0.120000	777724.000000	758552.000000	0.012480
240.000000	-6.700000	-0.096000	-0.120000	779685.000000	761259.000000	0.011958
243.000000	-6.400000	-0.092000	-0.120000	775087.000000	757397.000000	0.011543
246.000000	-6.100000	-0.088000	-0.120000	775519.000000	756020.000000	0.012732
249.000000	-5.900000	-0.084000	-0.120000	770402.000000	751803.000000	0.012218
252.000000	-5.600000	-0.080000	-0.120000	770795.000000	752774.000000	0.011828
255.000000	-5.300000	-0.076000	-0.120000	770211.000000	752820.000000	0.011419
258.000000	-5.000000	-0.072000	-0.120000	767974.000000	751041.000000	0.011147
261.000000	-4.700000	-0.068000	-0.120000	767082.000000	748982.000000	0.011939
264.000000	-4.500000	-0.064000	-0.120000	768879.000000	749918.000000	0.012484
267.000000	-4.200000	-0.060000	-0.120000	763603.000000	747218.000000	0.010845
270.000000	-3.900000	-0.056000	-0.120000	762302.000000	743499.000000	0.012487
273.000000	-3.600000	-0.052000	-0.120000	764788.000000	748566.000000	0.010719
276.000000	-3.300000	-0.048000	-0.120000	761142.000000	745017.000000	0.010706
279.000000	-3.100000	-0.044000	-0.120000	761474.000000	744293.000000	0.011410
282.000000	-2.800000	-0.040000	-0.120000	771013.000000	753003.000000	0.011817
285.000000	-2.500000	-0.036000	-0.120000	773760.000000	755586.000000	0.011884
288.000000	-2.200000	-0.032000	-0.120000	773774.000000	755820.000000	0.011738
291.000000	-2.000000	-0.028000	-0.120000	759345.000000	740480.000000	0.012578
294.000000	-1.700000	-0.024000	-0.120000	768442.000000	749660.000000	0.012372
297.000000	-1.400000	-0.020000	-0.120000	769286.000000	747714.000000	0.014220
300.000000	-1.100000	-0.016000	-0.120000	763239.000000	741969.000000	0.014131
303.000000	-0.800000	-0.012000	-0.120000	769049.000000	745579.000000	0.015496
306.000000	-0.600000	-0.008000	-0.120000	774251.000000	748827.000000	0.016693
