Lab. Time (s)	Magn. Field (mT)	Outp. Curr. (A)	Outp. Volt. (V)	Channel A	Channel B	(A-B)/(A+B)
0.000000	-27.900000	-0.400000	-0.140000	742068.000000	749770.000000	-0.005163
15.000000	-27.600000	-0.396000	-0.130000	756068.000000	762011.000000	-0.003915
18.000000	-27.300000	-0.392000	-0.130000	752297.000000	760132.000000	-0.005180
21.000000	-27.100000	-0.388000	-0.130000	752815.000000	759474.000000	-0.004403
25.000000	-26.800000	-0.384000	-0.130000	756884.000000	762349.000000	-0.003597
28.000000	-26.500000	-0.380000	-0.120000	752012.000000	758632.000000	-0.004382
31.000000	-26.200000	-0.376000	-0.130000	752511.000000	761771.000000	-0.006115
34.000000	-26.000000	-0.372000	-0.120000	757735.000000	766215.000000	-0.005564
37.000000	-25.700000	-0.368000	-0.130000	758775.000000	763921.000000	-0.003380
40.000000	-25.400000	-0.364000	-0.130000	758531.000000	764946.000000	-0.004211
43.000000	-25.100000	-0.360000	-0.120000	758740.000000	764021.000000	-0.003468
46.000000	-24.800000	-0.356000	-0.130000	753200.000000	759835.000000	-0.004385
50.000000	-24.600000	-0.352000	-0.120000	755733.000000	761678.000000	-0.003918
53.000000	-24.300000	-0.348000	-0.120000	763664.000000	766575.000000	-0.001902
56.000000	-24.000000	-0.344000	-0.120000	762903.000000	769316.000000	-0.004185
59.000000	-23.700000	-0.340000	-0.120000	759196.000000	763978.000000	-0.003139
62.000000	-23.400000	-0.336000	-0.120000	758494.000000	763291.000000	-0.003152
65.000000	-23.200000	-0.332000	-0.120000	753240.000000	760328.000000	-0.004683
68.000000	-22.900000	-0.328000	-0.130000	752180.000000	756653.000000	-0.002965
72.000000	-22.600000	-0.324000	-0.130000	759555.000000	765683.000000	-0.004018
75.000000	-22.300000	-0.320000	-0.120000	763042.000000	768482.000000	-0.003552
78.000000	-22.000000	-0.316000	-0.120000	754054.000000	760336.000000	-0.004148
81.000000	-21.800000	-0.312000	-0.120000	759294.000000	765011.000000	-0.003751
84.000000	-21.500000	-0.308000	-0.120000	753792.000000	757528.000000	-0.002472
87.000000	-21.200000	-0.304000	-0.120000	753795.000000	758351.000000	-0.003013
90.000000	-20.900000	-0.300000	-0.120000	755847.000000	759241.000000	-0.002240
93.000000	-20.700000	-0.296000	-0.120000	757417.000000	761248.000000	-0.002523
97.000000	-20.400000	-0.292000	-0.120000	755769.000000	760311.000000	-0.002996
100.000000	-20.100000	-0.288000	-0.120000	761410.000000	765004.000000	-0.002355
103.000000	-19.800000	-0.284000	-0.120000	763500.000000	767692.000000	-0.002738
106.000000	-19.500000	-0.280000	-0.120000	765945.000000	772210.000000	-0.004073
109.000000	-19.300000	-0.276000	-0.120000	752984.000000	756435.000000	-0.002286
112.000000	-19.000000	-0.272000	-0.120000	751530.000000	756344.000000	-0.003193
115.000000	-18.700000	-0.268000	-0.120000	757366.000000	760426.000000	-0.002016
118.000000	-18.400000	-0.264000	-0.120000	753948.000000	757487.000000	-0.002341
122.000000	-18.100000	-0.260000	-0.120000	752130.000000	755555.000000	-0.002272
125.000000	-17.900000	-0.256000	-0.120000	752414.000000	756175.000000	-0.002493
128.000000	-17.600000	-0.252000	-0.120000	751418.000000	753818.000000	-0.001594
131.000000	-17.300000	-0.248000	-0.120000	757445.000000	759570.000000	-0.001401
134.000000	-17.000000	-0.244000	-0.120000	758378.000000	758552.000000	-0.000115
137.000000	-16.700000	-0.240000	-0.120000	758582.000000	759896.000000	-0.000865
140.000000	-16.500000	-0.236000	-0.120000	760577.000000	762027.000000	-0.000952
143.000000	-16.200000	-0.232000	-0.120000	759556.000000	759863.000000	-0.000202
146.000000	-15.900000	-0.228000	-0.120000	762355.000000	764194.000000	-0.001205
150.000000	-15.600000	-0.224000	-0.120000	759085.000000	759426.000000	-0.000225
