Lab. Time (s)	Magn. Field (mT)	Outp. Curr. (A)	Outp. Volt. (V)	Channel A	Channel B	(A-B)/(A+B)
0.000000	-27.900000	-0.400000	-0.140000	696464.000000	700865.000000	-0.003150
5.000000	-27.600000	-0.396000	-0.130000	699170.000000	703803.000000	-0.003302
8.000000	-27.300000	-0.392000	-0.130000	695623.000000	700618.000000	-0.003577
11.000000	-27.100000	-0.388000	-0.130000	694354.000000	699058.000000	-0.003376
14.000000	-26.800000	-0.384000	-0.130000	695920.000000	701635.000000	-0.004089
17.000000	-26.500000	-0.380000	-0.130000	692449.000000	697382.000000	-0.003549
20.000000	-26.200000	-0.376000	-0.130000	696089.000000	701034.000000	-0.003539
24.000000	-26.000000	-0.372000	-0.120000	698278.000000	702075.000000	-0.002711
27.000000	-25.700000	-0.368000	-0.130000	689814.000000	697161.000000	-0.005297
30.000000	-25.400000	-0.364000	-0.130000	698350.000000	703193.000000	-0.003455
33.000000	-25.100000	-0.360000	-0.130000	699529.000000	704134.000000	-0.003281
36.000000	-24.800000	-0.356000	-0.130000	698948.000000	705589.000000	-0.004728
39.000000	-24.600000	-0.352000	-0.120000	694862.000000	702275.000000	-0.005306
42.000000	-24.300000	-0.348000	-0.130000	696294.000000	700778.000000	-0.003210
45.000000	-24.000000	-0.344000	-0.120000	696634.000000	701394.000000	-0.003405
48.000000	-23.700000	-0.340000	-0.120000	690934.000000	695767.000000	-0.003485
51.000000	-23.400000	-0.336000	-0.130000	686017.000000	693318.000000	-0.005293
54.000000	-23.200000	-0.332000	-0.130000	693891.000000	697276.000000	-0.002433
57.000000	-22.900000	-0.328000	-0.120000	692095.000000	697338.000000	-0.003773
60.000000	-22.600000	-0.324000	-0.120000	690358.000000	695336.000000	-0.003592
63.000000	-22.300000	-0.320000	-0.120000	695918.000000	701378.000000	-0.003908
66.000000	-22.000000	-0.316000	-0.120000	688440.000000	692170.000000	-0.002702
69.000000	-21.800000	-0.312000	-0.120000	693527.000000	696747.000000	-0.002316
72.000000	-21.500000	-0.308000	-0.120000	693968.000000	697415.000000	-0.002477
75.000000	-21.200000	-0.304000	-0.120000	697177.000000	700778.000000	-0.002576
78.000000	-20.900000	-0.300000	-0.120000	696649.000000	699613.000000	-0.002123
81.000000	-20.700000	-0.296000	-0.130000	700430.000000	705749.000000	-0.003783
84.000000	-20.400000	-0.292000	-0.130000	699272.000000	700747.000000	-0.001054
87.000000	-20.100000	-0.288000	-0.120000	692460.000000	696922.000000	-0.003211
90.000000	-19.800000	-0.284000	-0.120000	695802.000000	699141.000000	-0.002394
93.000000	-19.500000	-0.280000	-0.120000	695945.000000	699552.000000	-0.002585
96.000000	-19.300000	-0.276000	-0.120000	700546.000000	704042.000000	-0.002489
99.000000	-19.000000	-0.272000	-0.120000	701182.000000	704261.000000	-0.002191
102.000000	-18.700000	-0.268000	-0.120000	699697.000000	702990.000000	-0.002348
105.000000	-18.400000	-0.264000	-0.120000	700433.000000	705793.000000	-0.003812
108.000000	-18.100000	-0.260000	-0.120000	697056.000000	701644.000000	-0.003280
111.000000	-17.900000	-0.256000	-0.120000	696600.000000	701358.000000	-0.003404
114.000000	-17.600000	-0.252000	-0.120000	692748.000000	695395.000000	-0.001907
117.000000	-17.300000	-0.248000	-0.120000	697221.000000	699828.000000	-0.001866
120.000000	-17.000000	-0.244000	-0.120000	696029.000000	697236.000000	-0.000866
123.000000	-16.700000	-0.240000	-0.120000	692436.000000	694655.000000	-0.001600
126.000000	-16.500000	-0.236000	-0.120000	699428.000000	699281.000000	0.000105
129.000000	-16.200000	-0.232000	-0.120000	695026.000000	697767.000000	-0.001968
132.000000	-15.900000	-0.228000	-0.120000	696239.000000	698897.000000	-0.001905
135.000000	-15.600000	-0.224000	-0.120000	701149.000000	701464.000000	-0.000225
138.000000	-15.300000	-0.220000	-0.120000	699390.000000	700692.000000	-0.000930
141.000000	-15.100000	-0.216000	-0.120000	696604.000000	695966.000000	0.000458
144.000000	-14.800000	-0.212000	-0.120000	697502.000000	696404.000000	0.000788
147.000000	-14.500000	-0.208000	-0.120000	695036.000000	696415.000000	-0.000991
150.000000	-14.200000	-0.204000	-0.120000	703017.000000	702203.000000	0.000579
153.000000	-14.000000	-0.200000	-0.120000	695112.000000	694848.000000	0.000190
156.000000	-13.700000	-0.196000	-0.120000	698645.000000	696293.000000	0.001686
159.000000	-13.400000	-0.192000	-0.120000	694738.000000	692170.000000	0.001852
162.000000	-13.100000	-0.188000	-0.120000	699453.000000	696960.000000	0.001785
165.000000	-12.800000	-0.184000	-0.120000	700362.000000	697436.000000	0.002093
168.000000	-12.600000	-0.180000	-0.120000	703233.000000	698264.000000	0.003545
171.000000	-12.300000	-0.176000	-0.120000	708398.000000	702071.000000	0.004486
174.000000	-12.000000	-0.172000	-0.120000	706831.000000	701386.000000	0.003867
177.000000	-11.700000	-0.168000	-0.120000	701556.000000	693412.000000	0.005838
180.000000	-11.400000	-0.164000	-0.120000	699515.000000	693211.000000	0.004526
183.000000	-11.200000	-0.160000	-0.120000	702959.000000	691355.000000	0.008322
186.000000	-10.900000	-0.156000	-0.120000	708479.000000	696014.000000	0.008875
189.000000	-10.600000	-0.152000	-0.120000	709496.000000	696175.000000	0.009477
192.000000	-10.300000	-0.148000	-0.120000	706694.000000	694348.000000	0.008812
195.000000	-10.000000	-0.144000	-0.120000	704054.000000	690631.000000	0.009624
198.000000	-9.800000	-0.140000	-0.120000	694074.000000	680050.000000	0.010206
201.000000	-9.500000	-0.136000	-0.120000	707969.000000	691285.000000	0.011923
204.000000	-9.200000	-0.132000	-0.120000	713325.000000	693907.000000	0.013799
207.000000	-8.900000	-0.128000	-0.120000	713710.000000	694208.000000	0.013852
210.000000	-8.700000	-0.124000	-0.120000	709296.000000	692341.000000	0.012097
213.000000	-8.400000	-0.120000	-0.120000	712146.000000	690861.000000	0.015171
216.000000	-8.100000	-0.116000	-0.120000	706149.000000	685639.000000	0.014736
219.000000	-7.800000	-0.112000	-0.120000	706329.000000	686824.000000	0.014001
222.000000	-7.500000	-0.108000	-0.120000	709745.000000	688896.000000	0.014907
225.000000	-7.300000	-0.104000	-0.120000	712496.000000	691408.000000	0.015021
228.000000	-7.000000	-0.100000	-0.120000	713072.000000	689329.000000	0.016930
231.000000	-6.700000	-0.096000	-0.120000	711600.000000	687616.000000	0.017141
234.000000	-6.400000	-0.092000	-0.120000	709969.000000	687568.000000	0.016029
237.000000	-6.100000	-0.088000	-0.120000	709499.000000	686987.000000	0.016120
240.000000	-5.900000	-0.084000	-0.120000	709611.000000	687066.000000	0.016142
243.000000	-5.600000	-0.080000	-0.120000	713044.000000	692078.000000	0.014921
246.000000	-5.300000	-0.076000	-0.120000	713285.000000	692918.000000	0.014484
249.000000	-5.000000	-0.072000	-0.120000	713854.000000	690672.000000	0.016505
252.000000	-4.700000	-0.068000	-0.120000	708194.000000	688951.000000	0.013773
255.000000	-4.500000	-0.064000	-0.120000	700863.000000	679509.000000	0.015470
258.000000	-4.200000	-0.060000	-0.120000	697310.000000	677110.000000	0.014697
261.000000	-3.900000	-0.056000	-0.120000	705662.000000	685215.000000	0.014701
264.000000	-3.600000	-0.052000	-0.120000	703807.000000	685698.000000	0.013033
267.000000	-3.300000	-0.048000	-0.120000	702799.000000	683005.000000	0.014283
270.000000	-3.100000	-0.044000	-0.120000	703161.000000	684871.000000	0.013177
273.000000	-2.800000	-0.040000	-0.120000	705519.000000	686299.000000	0.013809
276.000000	-2.500000	-0.036000	-0.120000	706617.000000	687242.000000	0.013900
279.000000	-2.200000	-0.032000	-0.120000	704239.000000	686426.000000	0.012809
282.000000	-2.000000	-0.028000	-0.120000	708968.000000	688385.000000	0.014730
285.000000	-1.700000	-0.024000	-0.120000	706338.000000	685795.000000	0.014756
288.000000	-1.400000	-0.020000	-0.120000	706803.000000	686116.000000	0.014852
291.000000	-1.100000	-0.016000	-0.120000	705864.000000	686384.000000	0.013992
294.000000	-0.800000	-0.012000	-0.120000	708852.000000	685853.000000	0.016490
297.000000	-0.600000	-0.008000	-0.120000	702926.000000	682313.000000	0.014880
300.000000	-0.300000	-0.004000	-0.120000	706575.000000	683036.000000	0.016939
303.000000	0.000000	0.000000	-0.120000	706293.000000	678905.000000	0.019772
306.000000	0.300000	0.004000	-0.120000	705813.000000	676244.000000	0.021395
309.000000	0.600000	0.008000	-0.120000	710469.000000	676525.000000	0.024473
312.000000	0.800000	0.012000	-0.120000	707159.000000	674346.000000	0.023752
315.000000	1.100000	0.016000	-0.120000	710842.000000	675154.000000	0.025749
318.000000	1.400000	0.020000	-0.120000	711473.000000	674864.000000	0.026407
321.000000	1.700000	0.024000	-0.120000	710669.000000	674578.000000	0.026054
324.000000	2.000000	0.028000	-0.120000	708657.000000	676721.000000	0.023052
327.000000	2.200000	0.032000	-0.120000	713646.000000	680356.000000	0.023881
330.000000	2.500000	0.036000	-0.120000	711265.000000	681018.000000	0.021725
333.000000	2.800000	0.040000	-0.120000	705361.000000	677650.000000	0.020037
336.000000	3.100000	0.044000	-0.120000	711136.000000	683720.000000	0.019655
339.000000	3.300000	0.048000	-0.120000	701639.000000	677029.000000	0.017851
342.000000	3.600000	0.052000	-0.120000	711693.000000	689041.000000	0.016172
345.000000	3.900000	0.056000	-0.120000	704048.000000	683635.000000	0.014710
348.000000	4.200000	0.060000	-0.120000	703716.000000	682960.000000	0.014968
351.000000	4.500000	0.064000	-0.120000	707398.000000	688953.000000	0.013209
354.000000	4.700000	0.068000	-0.120000	708819.000000	688969.000000	0.014201
357.000000	5.000000	0.072000	-0.120000	709137.000000	688462.000000	0.014793
360.000000	5.300000	0.076000	-0.120000	708841.000000	689317.000000	0.013964
363.000000	5.600000	0.080000	-0.120000	705073.000000	685274.000000	0.014240
366.000000	5.900000	0.084000	-0.120000	711168.000000	690032.000000	0.015084
369.000000	6.100000	0.088000	-0.120000	709421.000000	689278.000000	0.014401
373.000000	6.400000	0.092000	-0.120000	707461.000000	686747.000000	0.014857
376.000000	6.700000	0.096000	-0.120000	713290.000000	691918.000000	0.015209
379.000000	7.000000	0.100000	-0.120000	709768.000000	689613.000000	0.014403
382.000000	7.300000	0.104000	-0.120000	710355.000000	688989.000000	0.015269
385.000000	7.500000	0.108000	-0.110000	712575.000000	688142.000000	0.017443
388.000000	7.800000	0.112000	-0.120000	707533.000000	686510.000000	0.015081
392.000000	8.100000	0.116000	-0.120000	702012.000000	679867.000000	0.016025
395.000000	8.400000	0.120000	-0.120000	711190.000000	689018.000000	0.015835
398.000000	8.700000	0.124000	-0.120000	709220.000000	687563.000000	0.015505
401.000000	8.900000	0.128000	-0.110000	710344.000000	689207.000000	0.015103
404.000000	9.200000	0.132000	-0.120000	715432.000000	692280.000000	0.016447
407.000000	9.500000	0.136000	-0.120000	704907.000000	683889.000000	0.015134
410.000000	9.800000	0.140000	-0.120000	700276.000000	680458.000000	0.014353
413.000000	10.000000	0.144000	-0.110000	697896.000000	679966.000000	0.013013
416.000000	10.300000	0.148000	-0.120000	706417.000000	686176.000000	0.014535
419.000000	10.600000	0.152000	-0.110000	702324.000000	682987.000000	0.013959
422.000000	10.900000	0.156000	-0.110000	711663.000000	693725.000000	0.012764
