Lab. Time (s)	Magn. Field (mT)	Outp. Curr. (A)	Outp. Volt. (V)	Channel A	Channel B	(A-B)/(A+B)
0.000000	-27.900000	-0.400000	-0.140000	699897.000000	705036.000000	-0.003658
15.000000	-27.600000	-0.396000	-0.130000	696191.000000	702112.000000	-0.004234
19.000000	-27.300000	-0.392000	-0.130000	699255.000000	703566.000000	-0.003073
22.000000	-27.100000	-0.388000	-0.130000	699754.000000	704661.000000	-0.003494
25.000000	-26.800000	-0.384000	-0.130000	699405.000000	704279.000000	-0.003472
28.000000	-26.500000	-0.380000	-0.130000	691984.000000	697472.000000	-0.003950
32.000000	-26.200000	-0.376000	-0.130000	689845.000000	695664.000000	-0.004200
35.000000	-26.000000	-0.372000	-0.130000	687108.000000	694530.000000	-0.005372
38.000000	-25.700000	-0.368000	-0.120000	694268.000000	699236.000000	-0.003565
41.000000	-25.400000	-0.364000	-0.130000	693917.000000	699237.000000	-0.003819
45.000000	-25.100000	-0.360000	-0.120000	698563.000000	702641.000000	-0.002910
48.000000	-24.800000	-0.356000	-0.120000	699947.000000	705279.000000	-0.003794
51.000000	-24.600000	-0.352000	-0.120000	693853.000000	698851.000000	-0.003589
54.000000	-24.300000	-0.348000	-0.130000	700302.000000	706335.000000	-0.004289
58.000000	-24.000000	-0.344000	-0.120000	697390.000000	704470.000000	-0.005050
61.000000	-23.700000	-0.340000	-0.120000	695612.000000	701824.000000	-0.004445
64.000000	-23.400000	-0.336000	-0.120000	692006.000000	696649.000000	-0.003344
67.000000	-23.200000	-0.332000	-0.130000	688869.000000	694291.000000	-0.003920
71.000000	-22.900000	-0.328000	-0.130000	686732.000000	691277.000000	-0.003298
74.000000	-22.600000	-0.324000	-0.120000	693577.000000	698512.000000	-0.003545
77.000000	-22.300000	-0.320000	-0.120000	693164.000000	698879.000000	-0.004105
80.000000	-22.000000	-0.316000	-0.130000	693086.000000	697911.000000	-0.003469
