Lab. Time (s)	Magn. Field (mT)	Outp. Curr. (A)	Outp. Volt. (V)	Channel A	Channel B	(A-B)/(A+B)
0.000000	-27.900000	-0.400000	-0.140000	697203.000000	704525.000000	-0.005224
15.000000	-27.600000	-0.396000	-0.130000	695095.000000	702282.000000	-0.005143
18.000000	-27.300000	-0.392000	-0.130000	698241.000000	704741.000000	-0.004633
22.000000	-27.100000	-0.388000	-0.130000	692439.000000	699220.000000	-0.004873
25.000000	-26.800000	-0.384000	-0.130000	691192.000000	698683.000000	-0.005390
28.000000	-26.500000	-0.380000	-0.130000	698417.000000	704406.000000	-0.004269
31.000000	-26.200000	-0.376000	-0.130000	698342.000000	704300.000000	-0.004248
35.000000	-26.000000	-0.372000	-0.130000	693805.000000	699008.000000	-0.003736
38.000000	-25.700000	-0.368000	-0.120000	695767.000000	702407.000000	-0.004749
41.000000	-25.400000	-0.364000	-0.120000	691807.000000	697546.000000	-0.004131
44.000000	-25.100000	-0.360000	-0.120000	695392.000000	702228.000000	-0.004891
48.000000	-24.800000	-0.356000	-0.120000	697940.000000	702879.000000	-0.003526
51.000000	-24.600000	-0.352000	-0.120000	694966.000000	697847.000000	-0.002068
54.000000	-24.300000	-0.348000	-0.120000	696810.000000	702670.000000	-0.004187
57.000000	-24.000000	-0.344000	-0.130000	690695.000000	696737.000000	-0.004355
61.000000	-23.700000	-0.340000	-0.130000	692387.000000	696638.000000	-0.003060
64.000000	-23.400000	-0.336000	-0.120000	697704.000000	703371.000000	-0.004045
67.000000	-23.200000	-0.332000	-0.130000	698515.000000	702590.000000	-0.002908
70.000000	-22.900000	-0.328000	-0.120000	690161.000000	696494.000000	-0.004567
74.000000	-22.600000	-0.324000	-0.120000	698883.000000	702266.000000	-0.002414
77.000000	-22.300000	-0.320000	-0.120000	696246.000000	700491.000000	-0.003039
80.000000	-22.000000	-0.316000	-0.120000	702607.000000	705977.000000	-0.002392
83.000000	-21.800000	-0.312000	-0.120000	700674.000000	707478.000000	-0.004832
87.000000	-21.500000	-0.308000	-0.120000	697284.000000	702745.000000	-0.003901
90.000000	-21.200000	-0.304000	-0.120000	701509.000000	705350.000000	-0.002730
93.000000	-20.900000	-0.300000	-0.120000	699576.000000	705258.000000	-0.004045
96.000000	-20.700000	-0.296000	-0.120000	699101.000000	702343.000000	-0.002313
100.000000	-20.400000	-0.292000	-0.120000	706039.000000	709163.000000	-0.002207
103.000000	-20.100000	-0.288000	-0.120000	702088.000000	706116.000000	-0.002860
106.000000	-19.800000	-0.284000	-0.120000	700797.000000	706372.000000	-0.003962
109.000000	-19.500000	-0.280000	-0.120000	694882.000000	700213.000000	-0.003821
113.000000	-19.300000	-0.276000	-0.120000	693069.000000	696717.000000	-0.002625
116.000000	-19.000000	-0.272000	-0.120000	684714.000000	689529.000000	-0.003504
119.000000	-18.700000	-0.268000	-0.120000	692790.000000	696749.000000	-0.002849
122.000000	-18.400000	-0.264000	-0.120000	699565.000000	702729.000000	-0.002256
126.000000	-18.100000	-0.260000	-0.120000	701393.000000	702356.000000	-0.000686
129.000000	-17.900000	-0.256000	-0.120000	699904.000000	703330.000000	-0.002442
132.000000	-17.600000	-0.252000	-0.120000	695210.000000	698529.000000	-0.002381
135.000000	-17.300000	-0.248000	-0.120000	693358.000000	696083.000000	-0.001961
139.000000	-17.000000	-0.244000	-0.120000	697372.000000	703126.000000	-0.004109
142.000000	-16.700000	-0.240000	-0.120000	696173.000000	700160.000000	-0.002855
145.000000	-16.500000	-0.236000	-0.120000	696461.000000	699529.000000	-0.002198
148.000000	-16.200000	-0.232000	-0.120000	693938.000000	697389.000000	-0.002480
152.000000	-15.900000	-0.228000	-0.120000	696389.000000	697976.000000	-0.001138
155.000000	-15.600000	-0.224000	-0.120000	697076.000000	700751.000000	-0.002629
158.000000	-15.300000	-0.220000	-0.120000	694950.000000	694949.000000	0.000001
161.000000	-15.100000	-0.216000	-0.120000	695936.000000	697818.000000	-0.001350
165.000000	-14.800000	-0.212000	-0.120000	699156.000000	700296.000000	-0.000815
168.000000	-14.500000	-0.208000	-0.120000	701361.000000	699917.000000	0.001030
171.000000	-14.200000	-0.204000	-0.120000	701250.000000	702099.000000	-0.000605
174.000000	-14.000000	-0.200000	-0.120000	695486.000000	696855.000000	-0.000983
178.000000	-13.700000	-0.196000	-0.120000	693101.000000	692051.000000	0.000758
181.000000	-13.400000	-0.192000	-0.120000	702958.000000	701569.000000	0.000989
184.000000	-13.100000	-0.188000	-0.120000	697223.000000	696479.000000	0.000534
187.000000	-12.800000	-0.184000	-0.120000	701391.000000	700068.000000	0.000944
191.000000	-12.600000	-0.180000	-0.120000	702032.000000	701461.000000	0.000407
