Lab. Time (s)	Magn. Field (mT)	Outp. Curr. (A)	Outp. Volt. (V)	Channel A	Channel B	(A-B)/(A+B)
0.000000	-27.900000	-0.400000	-0.140000	697320.000000	705901.000000	-0.006115
15.000000	-27.600000	-0.396000	-0.130000	696105.000000	703080.000000	-0.004985
18.000000	-27.300000	-0.392000	-0.130000	700459.000000	706225.000000	-0.004099
22.000000	-27.100000	-0.388000	-0.130000	698139.000000	706522.000000	-0.005968
25.000000	-26.800000	-0.384000	-0.130000	695050.000000	702629.000000	-0.005423
28.000000	-26.500000	-0.380000	-0.130000	698652.000000	703783.000000	-0.003659
31.000000	-26.200000	-0.376000	-0.130000	698865.000000	704428.000000	-0.003964
35.000000	-26.000000	-0.372000	-0.120000	700667.000000	705796.000000	-0.003647
38.000000	-25.700000	-0.368000	-0.120000	698000.000000	702400.000000	-0.003142
41.000000	-25.400000	-0.364000	-0.130000	702636.000000	707055.000000	-0.003135
44.000000	-25.100000	-0.360000	-0.130000	700966.000000	705053.000000	-0.002907
48.000000	-24.800000	-0.356000	-0.130000	685545.000000	692463.000000	-0.005020
51.000000	-24.600000	-0.352000	-0.120000	692227.000000	698349.000000	-0.004402
54.000000	-24.300000	-0.348000	-0.120000	695143.000000	701162.000000	-0.004311
57.000000	-24.000000	-0.344000	-0.130000	695098.000000	700323.000000	-0.003744
61.000000	-23.700000	-0.340000	-0.130000	694926.000000	700570.000000	-0.004044
64.000000	-23.400000	-0.336000	-0.120000	694187.000000	700255.000000	-0.004352
67.000000	-23.200000	-0.332000	-0.120000	694798.000000	700724.000000	-0.004246
70.000000	-22.900000	-0.328000	-0.120000	694704.000000	700696.000000	-0.004294
74.000000	-22.600000	-0.324000	-0.120000	699004.000000	703824.000000	-0.003436
77.000000	-22.300000	-0.320000	-0.120000	700561.000000	704592.000000	-0.002869
80.000000	-22.000000	-0.316000	-0.130000	696680.000000	703197.000000	-0.004655
83.000000	-21.800000	-0.312000	-0.120000	697174.000000	700641.000000	-0.002480
87.000000	-21.500000	-0.308000	-0.120000	694649.000000	699367.000000	-0.003384
90.000000	-21.200000	-0.304000	-0.130000	692216.000000	699078.000000	-0.004932
93.000000	-20.900000	-0.300000	-0.120000	694232.000000	699200.000000	-0.003565
96.000000	-20.700000	-0.296000	-0.120000	690595.000000	696013.000000	-0.003907
100.000000	-20.400000	-0.292000	-0.120000	696121.000000	699855.000000	-0.002675
